text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,tf-idf
рамках,false,144,14,2,false,TimesNewRomanPSMT,true,329,42,8,6,0.44465780490343443
ЮНЕСКО,false,200,14,9,false,TimesNewRomanPSMT,true,329,62,15,6,
в,false,277,14,16,false,TimesNewRomanPSMT,true,329,6,17,6,0.0
ответ,false,297,14,18,false,TimesNewRomanPSMT,true,329,32,23,6,
на,false,345,14,24,false,TimesNewRomanPSMT,true,329,13,26,6,0.0
отрицательные,false,372,14,27,false,TimesNewRomanPSMT,true,329,91,40,6,
последствия,false,477,14,41,false,TimesNewRomanPSMT,true,329,74,52,6,0.4822681122428943
глобализации,false,85,14,0,false,TimesNewRomanPSMT,true,353,83,12,6,
для,false,181,14,13,false,TimesNewRomanPSMT,true,353,20,16,6,0.3010299956639812
культурного,false,214,14,17,false,TimesNewRomanPSMT,true,353,75,28,6,
разнообразия,false,303,14,29,false,TimesNewRomanPSMT,true,353,80,41,6,
были,false,397,14,42,false,TimesNewRomanPSMT,true,353,31,46,6,
приняты,false,440,14,47,false,TimesNewRomanPSMT,true,353,52,54,6,
важные,false,506,14,55,false,TimesNewRomanPSMT,true,353,46,61,6,
международно-правовые,false,85,14,0,false,TimesNewRomanPSMT,true,377,151,21,6,
меры.,false,241,14,22,false,TimesNewRomanPSMT,true,377,35,27,6,
В,false,281,14,28,false,TimesNewRomanPSMT,true,377,9,29,6,0.0
ст.,false,295,14,30,false,TimesNewRomanPSMT,true,377,15,33,6,
8,false,316,14,34,false,TimesNewRomanPSMT,true,377,7,35,6,
Всеобщей,false,328,14,36,false,TimesNewRomanPSMT,true,377,61,44,6,
декларации,false,394,14,45,false,TimesNewRomanPSMT,true,377,69,55,6,
о,false,469,14,56,false,TimesNewRomanPSMT,true,377,7,57,6,0.44465780490343443
культурном,false,481,14,58,false,TimesNewRomanPSMT,true,377,71,68,6,
разнообразии,false,85,14,0,false,TimesNewRomanPSMT,true,401,81,12,6,
2001,false,175,14,13,false,TimesNewRomanPSMT,true,401,28,17,6,
г.,false,212,14,18,false,TimesNewRomanPSMT,true,401,9,20,6,0.0
и,false,229,14,21,false,TimesNewRomanPSMT,true,401,7,22,6,0.0
преамбуле,false,246,14,23,false,TimesNewRomanPSMT,true,401,63,32,6,
Конвенции,false,318,14,33,false,TimesNewRomanPSMT,true,401,67,42,6,
об,false,394,14,43,false,TimesNewRomanPSMT,true,401,14,45,6,
охране,false,417,14,46,false,TimesNewRomanPSMT,true,401,41,52,6,
и,false,467,14,53,false,TimesNewRomanPSMT,true,401,7,54,6,0.0
поощрении,false,483,14,55,false,TimesNewRomanPSMT,true,401,68,64,6,
разнообразия,false,85,14,0,false,TimesNewRomanPSMT,true,425,80,12,6,
форм,false,174,14,13,false,TimesNewRomanPSMT,true,425,32,17,6,
культурного,false,215,14,18,false,TimesNewRomanPSMT,true,425,75,29,6,
самовыражения,false,299,14,30,false,TimesNewRomanPSMT,true,425,95,43,6,
2005,false,404,14,44,false,TimesNewRomanPSMT,true,425,28,48,6,
г.,false,440,14,49,false,TimesNewRomanPSMT,true,425,9,51,6,0.0
зафиксированы,false,458,14,52,false,TimesNewRomanPSMT,true,425,94,65,6,
мерыдля,false,85,14,0,false,TimesNewRomanPSMT,true,449,52,7,6,
защиты,false,144,14,8,false,TimesNewRomanPSMT,true,449,45,14,6,
культурного,false,196,14,15,false,TimesNewRomanPSMT,true,449,75,26,6,
"разнообразия,",false,279,14,27,false,TimesNewRomanPSMT,true,449,85,40,6,
"основанные,",false,371,14,41,false,TimesNewRomanPSMT,true,449,75,52,6,
в,false,453,14,53,false,TimesNewRomanPSMT,true,449,6,54,6,0.0
"частности,",false,467,14,55,false,TimesNewRomanPSMT,true,449,64,65,6,
на,false,538,14,66,false,TimesNewRomanPSMT,true,449,13,68,6,0.0
"принципе,",false,85,14,0,false,TimesNewRomanPSMT,true,473,62,9,6,0.3010299956639812
в,false,157,14,10,false,TimesNewRomanPSMT,true,473,6,11,6,0.0
соответствии,false,173,14,12,false,TimesNewRomanPSMT,true,473,80,24,6,0.0
с,false,262,14,25,false,TimesNewRomanPSMT,true,473,6,26,6,0.0
которым,false,278,14,27,false,TimesNewRomanPSMT,true,473,53,34,6,
предметы,false,341,14,35,false,TimesNewRomanPSMT,true,473,59,43,6,
и,false,410,14,44,false,TimesNewRomanPSMT,true,473,7,45,6,0.0
услуги,false,427,14,46,false,TimesNewRomanPSMT,true,473,40,52,6,0.44465780490343443
культурного,false,477,14,53,false,TimesNewRomanPSMT,true,473,75,64,6,
"назначения,",false,85,14,0,false,TimesNewRomanPSMT,true,498,71,11,6,
"которые,",false,159,14,12,false,TimesNewRomanPSMT,true,498,53,20,6,
будучи,false,216,14,21,false,TimesNewRomanPSMT,true,498,42,27,6,
носителями,false,262,14,28,false,TimesNewRomanPSMT,true,498,71,38,6,
"самобытности,",false,336,14,39,false,TimesNewRomanPSMT,true,498,89,52,6,
ценностей,false,428,14,53,false,TimesNewRomanPSMT,true,498,62,62,6,
и,false,494,14,63,false,TimesNewRomanPSMT,true,498,7,64,6,0.0
"смысла,",false,504,14,65,false,TimesNewRomanPSMT,true,498,48,72,6,
не,false,85,14,0,false,TimesNewRomanPSMT,true,522,13,2,6,0.3010299956639812
должны,false,105,14,3,false,TimesNewRomanPSMT,true,522,48,9,6,
рассматриваться,false,161,14,10,false,TimesNewRomanPSMT,true,522,100,25,6,
как,false,267,14,26,false,TimesNewRomanPSMT,true,522,20,29,6,0.3010299956639812
обычные,false,295,14,30,false,TimesNewRomanPSMT,true,522,53,37,6,
предметы,false,356,14,38,false,TimesNewRomanPSMT,true,522,59,46,6,
или,false,422,14,47,false,TimesNewRomanPSMT,true,522,21,50,6,
потреб,false,450,14,51,false,TimesNewRomanPSMT,true,522,40,57,6,
ительские,false,492,14,58,false,TimesNewRomanPSMT,true,522,59,67,6,
товары.,false,85,14,0,false,TimesNewRomanPSMT,true,546,46,7,6,
Государствам,false,139,14,8,false,TimesNewRomanPSMT,true,546,83,20,6,
предлагается,false,230,14,21,false,TimesNewRomanPSMT,true,546,78,33,6,
разрабатывать,false,316,14,34,false,TimesNewRomanPSMT,true,546,87,47,6,
культурную,false,412,14,48,false,TimesNewRomanPSMT,true,546,73,58,6,
"политику,",false,492,14,59,false,TimesNewRomanPSMT,true,546,59,68,6,0.3010299956639812
которая,false,85,14,0,false,TimesNewRomanPSMT,true,570,47,7,6,
необязательно,false,144,14,8,false,TimesNewRomanPSMT,true,570,87,21,6,
соответствует,false,243,14,22,false,TimesNewRomanPSMT,true,570,84,35,6,0.0
правилам,false,339,14,36,false,TimesNewRomanPSMT,true,570,57,44,6,
свободного,false,409,14,45,false,TimesNewRomanPSMT,true,570,69,55,6,
рынка.,false,490,14,56,false,TimesNewRomanPSMT,true,570,40,62,6,0.0
В,false,543,14,63,false,TimesNewRomanPSMT,true,570,9,64,6,0.0
некотором,false,85,14,0,false,TimesNewRomanPSMT,true,594,64,9,6,
отношении,false,154,14,10,false,TimesNewRomanPSMT,true,594,67,19,6,
такие,false,227,14,20,false,TimesNewRomanPSMT,true,594,33,25,6,
договоры,false,266,14,26,false,TimesNewRomanPSMT,true,594,57,34,6,
расширяют,false,328,14,35,false,TimesNewRomanPSMT,true,594,67,44,6,
возможности,false,401,14,45,false,TimesNewRomanPSMT,true,594,79,56,6,0.44465780490343443
государств,false,486,14,57,false,TimesNewRomanPSMT,true,594,66,67,6,
по,false,85,14,0,false,TimesNewRomanPSMT,true,618,14,2,6,0.0
принятию,false,105,14,3,false,TimesNewRomanPSMT,true,618,60,11,6,
"мер,",false,173,14,12,false,TimesNewRomanPSMT,true,618,25,16,6,
необходимых,false,204,14,17,false,TimesNewRomanPSMT,true,618,82,28,6,
для,false,293,14,29,false,TimesNewRomanPSMT,true,618,21,32,6,0.3010299956639812
"охраны,",false,321,14,33,false,TimesNewRomanPSMT,true,618,47,40,6,
развития,false,375,14,41,false,TimesNewRomanPSMT,true,618,53,49,6,0.0
и,false,435,14,50,false,TimesNewRomanPSMT,true,618,7,51,6,0.0
распространения,false,449,14,52,false,TimesNewRomanPSMT,true,618,103,67,6,
достижений,false,85,14,0,false,TimesNewRomanPSMT,true,643,73,10,6,
науки,false,161,14,11,false,TimesNewRomanPSMT,true,643,35,16,6,0.0
и,false,198,14,17,false,TimesNewRomanPSMT,true,643,7,18,6,0.0
"культуры,",false,209,14,19,false,TimesNewRomanPSMT,true,643,61,28,6,
чего,false,273,14,29,false,TimesNewRomanPSMT,true,643,26,33,6,
требует,false,302,14,34,false,TimesNewRomanPSMT,true,643,45,41,6,
п.,false,351,14,42,false,TimesNewRomanPSMT,true,643,11,44,6,
2,false,365,14,45,false,TimesNewRomanPSMT,true,643,7,46,6,0.5114409330385058
ст.,false,375,14,47,false,TimesNewRomanPSMT,true,643,15,50,6,
15,false,393,14,51,false,TimesNewRomanPSMT,true,643,14,53,6,
Международного,false,410,14,54,false,TimesNewRomanPSMT,true,643,106,68,6,0.0
пакта,false,519,14,69,false,TimesNewRomanPSMT,true,643,32,74,6,
об,false,85,14,0,false,TimesNewRomanPSMT,true,667,14,2,6,
"экономических,",false,102,14,3,false,TimesNewRomanPSMT,true,667,96,17,6,0.0
социальных,false,202,14,18,false,TimesNewRomanPSMT,true,667,72,28,6,0.3010299956639812
и,false,278,14,29,false,TimesNewRomanPSMT,true,667,7,30,6,0.0
культурных,false,289,14,31,false,TimesNewRomanPSMT,true,667,71,41,6,
правах,false,365,14,42,false,TimesNewRomanPSMT,true,667,41,48,6,0.3010299956639812
